,date,dividends,split
0,2022-07-26,5.5,1.7
1,2021-08-24,4.7,1.5
2,2020-08-25,4.5,1.0
3,2019-07-24,5.5,1.0
4,2018-07-25,5.9,0.0
5,2017-07-26,4.81,0.0
6,2016-07-27,4.722,0.0
7,2015-07-29,5.096,0.0
8,2014-07-30,4.844,0.0
9,2013-07-31,2.952,0.0
10,2012-08-01,2.0,0.0
11,2011-07-27,2.8,0.0
12,2010-07-27,2.7,0.0
13,2009-07-23,1.7,0.0
14,2008-07-23,1.7,0.0
15,2007-07-17,1.5,0.0
16,2006-07-11,2.3,0.0
17,2005-07-06,2.7,0.0
18,2004-07-20,2.0,0.4
19,2003-06-26,2.0,0.0
20,2002-07-18,2.0,0.7
21,2001-06-28,1.8,1.8
